Customer ID,Name,Age,Gender,Signup Date,Last Purchase,Total Purchases,Total Spent ($),Country,Email,Device Type,Is Subscribed,Feedback Score
1,Allison Hill,58,Male,2021-07-12,2022-02-13,2,3720.67,Germany,garzaanthony@robinson.org,Mobile,Yes,8.2
2,Cristian Santos,65,Male,2022-11-24,2024-09-05,44,3716.31,China,zlawrence@blake.biz,Mobile,No,7.3
3,Christopher Bernard,20,Male,2022-01-04,2022-06-11,6,1132.26,China,wdavis@baker.com,Tablet,Yes,8.5
4,Jamie Arnold,53,Male,2024-02-09,2025-06-11,46,3266.93,China,janetwilliams@gmail.com,Desktop,Yes,9.8
5,Victoria Wyatt,46,Female,2024-04-07,2024-06-24,1,3806.1,UK,shawn52@yahoo.com,Tablet,No,7.1
6,Michael Miles,39,Female,2023-06-27,2024-11-11,10,1115.8,UAE,amandasanchez@gray-mayo.net,Mobile,Yes,7.1
7,Frederick Tate,42,Male,2020-10-25,2022-10-06,23,4245.1,Brazil,richard13@walter.biz,Desktop,Yes,9.9
8,Maria Thomas,64,Female,2021-03-04,2023-04-09,35,667.89,Australia,zhurst@yahoo.com,Mobile,No,8.7
9,Zachary Hicks,58,Female,2020-12-19,2021-05-14,37,1001.83,India,courtneyconner@carlson-cruz.org,Mobile,Yes,6.8
10,Kendra Maddox DVM,67,Female,2020-08-17,2021-08-07,6,4283.82,India,daniel62@yahoo.com,Desktop,No,8.3
11,Nathan Cortez,47,Female,2022-09-16,2023-06-20,11,1882.4,Germany,meagan89@hernandez.net,Tablet,No,6.8
12,Tammy Sellers,62,Male,2023-02-16,2024-07-03,39,3193.14,China,rodriguezmichael@yahoo.com,Tablet,Yes,6.8
13,David Bradley,28,Female,2020-11-30,2021-08-23,25,1386.24,China,spenceamanda@gmail.com,Mobile,No,7.9
14,John Pierce,67,Male,2021-09-15,2023-12-13,15,4117.92,UAE,sarahcampos@hotmail.com,Desktop,No,4.6
15,Eric Carney,22,Male,2023-05-06,2024-12-06,37,4388.02,UAE,omartinez@gmail.com,Mobile,No,4.9
16,Kevin Hall,43,Female,2021-07-08,2021-07-19,10,1361.16,Germany,perezrebecca@jones-young.info,Tablet,No,6.7
17,Carlos Walls,65,Female,2023-01-04,2025-06-17,38,2027.03,Germany,kristenaguirre@gmail.com,Mobile,No,6.0
18,Matthew Gomez,23,Male,2022-04-30,2024-04-24,8,806.56,UK,brownjessica@wright.net,Tablet,No,8.0
19,Javier Ramirez,56,Male,2021-08-23,2025-05-12,25,1939.02,Singapore,jmorton@williams.com,Tablet,No,6.1
20,Tammy Allison,53,Male,2021-04-15,2024-09-28,44,3617.57,China,zlewis@gmail.com,Desktop,No,5.4
21,Aaron Myers,25,Female,2024-07-09,2025-05-09,28,832.88,USA,rodney87@gmail.com,Tablet,No,9.7
22,Daniel Brown,50,Male,2023-09-16,2024-11-10,33,4567.51,Canada,brian97@calhoun.net,Tablet,Yes,7.2
23,Cody Larson,27,Female,2023-06-14,2024-06-13,49,849.67,China,davidashley@hotmail.com,Mobile,No,7.6
24,Lisa Barnes,49,Male,2023-01-23,2025-06-19,8,4649.04,Canada,james53@yahoo.com,Mobile,Yes,5.4
25,Michael Evans,33,Male,2021-12-04,2025-02-13,6,3672.94,India,ellisyolanda@jones.net,Tablet,Yes,6.7
26,Timothy Ibarra,26,Female,2024-04-26,2024-11-01,36,867.38,China,eric84@hotmail.com,Tablet,No,7.7
27,Dr. Kendra Contreras,31,Male,2022-12-09,2024-03-18,46,1593.0,UAE,josephpreston@tran.com,Desktop,No,5.8
28,Mark Baker,25,Male,2022-08-28,2023-09-22,15,366.93,USA,waltersmaria@smith.com,Tablet,Yes,8.1
29,Jeremy Thornton,55,Male,2022-12-19,2023-01-03,1,401.42,USA,landryhannah@gardner.org,Mobile,Yes,6.6
30,Jessica Williams,20,Female,2022-02-17,2025-07-07,5,2595.07,Canada,jason31@deleon-henson.biz,Tablet,No,7.1
31,Nicole Frost,31,Male,2021-08-02,2025-04-06,47,4680.8,Brazil,nicolejohnson@middleton.com,Tablet,No,6.6
32,Richard Rodriguez,33,Female,2024-04-15,2024-05-15,27,992.53,India,jamessellers@yahoo.com,Tablet,No,10.0
33,Robert Perez,40,Female,2020-09-05,2022-04-28,27,2361.77,USA,joshua14@yahoo.com,Tablet,Yes,7.5
34,Jennifer Zavala,21,Female,2022-11-10,2024-04-07,47,1729.55,India,wileyjose@estes.biz,Mobile,Yes,5.9
35,Richard Graham,30,Female,2022-10-03,2023-03-31,9,2138.31,Canada,jonathanfletcher@gmail.com,Desktop,Yes,8.7
36,Renee Mcdaniel,22,Female,2024-07-30,2025-05-14,36,534.65,China,ryan59@alvarado-martinez.com,Mobile,Yes,5.7
37,Mary Nguyen,66,Male,2023-07-19,2024-03-04,11,2061.75,Singapore,robertbentley@adkins.biz,Mobile,No,7.8
38,April Mitchell,21,Male,2022-05-29,2024-11-14,25,60.67,Australia,rramos@gmail.com,Desktop,No,4.6
39,Rebecca Moyer,36,Female,2023-09-17,2024-01-26,45,4788.72,China,zachary95@cardenas.com,Tablet,No,5.5
40,Curtis Johnson,27,Male,2021-08-15,2023-08-23,19,1127.62,USA,operry@lee.com,Tablet,Yes,7.8
41,Michael Stafford,65,Female,2024-03-28,2024-06-18,4,298.2,Singapore,gregoryrubio@hotmail.com,Tablet,Yes,8.6
42,Justin Lowery,21,Male,2021-02-04,2024-12-23,12,389.18,India,jcontreras@stewart.net,Tablet,Yes,7.8
43,Terry Griffin,43,Male,2021-04-04,2025-04-17,37,1268.77,Brazil,karen48@yahoo.com,Mobile,Yes,7.3
44,Denise Jones,44,Female,2021-10-17,2022-10-16,17,1061.08,UAE,luis81@gmail.com,Mobile,No,7.0
45,James Hernandez,43,Male,2021-06-28,2021-10-05,43,3245.23,Singapore,drivera@yahoo.com,Desktop,Yes,5.3
46,Ross Price,18,Female,2023-11-08,2025-02-03,40,4992.35,India,wwoods@molina-castaneda.biz,Mobile,Yes,6.4
47,Morgan Marsh,50,Female,2024-05-25,2024-11-12,9,4669.63,India,joshuatucker@yahoo.com,Mobile,No,6.8
48,Michael Powell,36,Male,2021-04-13,2025-04-04,29,4177.04,Canada,meadowsbrittany@johnson.info,Tablet,Yes,9.1
49,David Murphy,60,Female,2022-07-07,2023-11-26,43,562.75,UK,aramirez@yahoo.com,Desktop,Yes,8.0
50,Julie Curry,24,Male,2020-10-19,2023-10-11,18,1444.69,Germany,harringtondenise@herring.com,Tablet,No,4.9
51,Cynthia Wells,31,Female,2021-01-24,2022-12-02,33,2468.23,USA,katie29@hotmail.com,Mobile,No,8.0
52,Michelle Strickland,35,Male,2021-04-11,2023-12-03,1,1701.1,UK,hickmanbarbara@sanders-espinoza.com,Tablet,No,6.9
53,Sandra Sanchez,28,Female,2023-07-19,2025-03-10,36,3543.05,China,hoganashlee@gmail.com,Mobile,Yes,6.5
54,Jeffrey Wood,22,Male,2022-09-24,2025-06-25,35,228.34,UAE,atkinsonlynn@gmail.com,Tablet,Yes,8.4
55,Jack Snow,45,Male,2022-07-15,2025-07-17,3,1575.88,USA,hthompson@nelson.info,Desktop,Yes,9.0
56,Roger Vargas,61,Male,2021-12-13,2025-07-28,43,558.83,China,ramirezshannon@hudson-barnett.com,Desktop,Yes,8.9
57,Samuel White,33,Male,2021-06-25,2022-12-28,12,4413.01,USA,joshua94@hotmail.com,Mobile,No,6.2
58,Travis Miller,68,Female,2023-08-23,2024-07-03,43,4327.12,Germany,hannahbrewer@yahoo.com,Desktop,Yes,7.0
59,Alan Phillips,68,Male,2022-04-20,2025-03-29,25,4367.23,Singapore,elizabeth57@schmidt.com,Mobile,Yes,8.0
60,Jesse Parker,70,Female,2021-07-24,2022-01-27,23,1560.69,Germany,david82@robinson.com,Mobile,Yes,9.0
61,Vanessa Warren,60,Male,2021-10-13,2022-03-18,26,1674.9,India,jeremy24@erickson.com,Desktop,No,6.8
62,Anthony Carter,59,Female,2021-02-12,2025-04-17,44,4906.69,China,andrewstaylor@peterson-sheppard.com,Desktop,Yes,7.2
63,Karen Short,25,Female,2022-04-14,2024-05-16,12,2923.92,Canada,hernandezlisa@miller-wright.net,Mobile,Yes,5.8
64,Lisa Gibbs,56,Female,2021-07-16,2024-11-01,23,3656.3,UAE,tkerr@hotmail.com,Desktop,Yes,5.7
65,Elizabeth Oliver DDS,42,Male,2023-09-23,2023-12-09,17,269.71,Australia,josephmiller@thompson.com,Mobile,Yes,8.7
66,Jerry Wheeler,41,Female,2021-10-26,2021-12-15,5,4746.93,UAE,jasmine71@hall.org,Tablet,No,9.5
67,Taylor Coleman,60,Male,2022-11-23,2023-11-07,47,4505.23,China,margaret10@sparks.org,Desktop,No,7.4
68,Jessica Harrison,38,Female,2021-11-15,2024-11-05,45,1513.49,UK,vincent77@gmail.com,Mobile,No,9.0
69,Stacy Navarro,60,Female,2023-02-23,2024-03-17,44,3753.27,UK,perezemily@matthews.com,Tablet,No,8.0
70,Pamela Thompson,43,Male,2022-10-15,2025-07-23,20,1470.22,Australia,howard96@hotmail.com,Tablet,No,6.5
71,Tracy Harrison,47,Female,2022-04-26,2023-09-25,29,3394.35,China,hodgemark@hotmail.com,Desktop,Yes,8.0
72,Matthew Morales DDS,60,Male,2020-09-26,2024-08-09,19,2601.49,Brazil,johnny16@bryan.info,Desktop,Yes,9.8
73,Cody Cox,70,Male,2023-10-19,2024-11-09,44,1586.58,Germany,harrisandrea@yahoo.com,Mobile,Yes,7.4
74,Michael Martinez,20,Male,2023-04-05,2024-04-10,31,3075.81,India,andrea86@walker.info,Desktop,No,9.8
75,Maria Moore,58,Male,2024-07-18,2025-04-22,46,3496.95,Singapore,robert77@gmail.com,Desktop,Yes,3.6
76,Charles Lee,27,Male,2023-02-17,2025-04-16,49,4309.18,India,hillkristy@morgan-french.com,Desktop,Yes,8.7
77,Diane Evans,29,Female,2023-01-28,2025-07-16,4,2809.16,India,seanwashington@yahoo.com,Desktop,Yes,7.6
78,Kimberly Gibson,69,Female,2021-12-12,2022-10-01,43,2679.1,China,xhall@williams-garner.biz,Tablet,No,7.1
79,Matthew Hoover,66,Female,2021-03-24,2025-06-09,40,4084.28,China,waynelawrence@sawyer.com,Desktop,No,7.6
80,Joyce Bowen,28,Female,2022-04-28,2025-02-08,29,1333.0,Germany,harrisontanya@hanson-sanders.com,Tablet,No,4.5
81,Sarah Villarreal,67,Female,2022-03-13,2023-07-17,41,1234.27,Singapore,williamsonjimmy@hotmail.com,Mobile,No,7.2
82,Yolanda Francis,33,Female,2022-06-05,2022-11-04,22,1632.56,China,tjackson@williams.com,Mobile,Yes,8.0
83,Jeffrey Sanchez,27,Male,2022-05-02,2024-09-27,25,3485.05,Germany,gregorylynch@harvey-allen.org,Mobile,No,9.7
84,Joel King,44,Female,2021-08-31,2024-07-01,35,2356.33,USA,rsantana@moore.org,Mobile,No,6.7
85,Victor Vaughn,42,Male,2022-07-10,2023-10-22,49,2899.67,Singapore,gcastaneda@james.org,Mobile,No,6.3
86,Michael Johnson,37,Female,2024-02-10,2025-07-05,27,2714.19,China,alan09@hotmail.com,Tablet,Yes,6.7
87,Tanner Mitchell DDS,49,Male,2023-03-01,2024-08-29,18,2207.39,USA,christinebyrd@saunders.com,Desktop,No,8.9
88,Maria Parker,60,Female,2022-06-15,2022-08-05,47,866.97,Singapore,christopherphillips@hotmail.com,Mobile,Yes,8.0
89,Curtis Buchanan,43,Male,2024-04-22,2025-01-31,6,3231.61,UK,jonathansummers@yahoo.com,Desktop,Yes,6.7
90,Elizabeth Harrell,21,Female,2024-01-01,2024-03-30,25,1670.4,Singapore,taylortammy@hotmail.com,Desktop,No,8.3
91,Veronica Coffey,66,Female,2024-01-01,2025-03-08,18,3772.45,Australia,gibbsalexander@hotmail.com,Desktop,Yes,7.6
92,Jacob Curry,48,Male,2021-09-11,2024-03-07,48,2720.12,UAE,daniel37@gmail.com,Mobile,Yes,9.0
93,Terri Murphy,67,Male,2023-03-05,2024-02-11,49,203.6,Germany,tblankenship@ortiz.com,Mobile,Yes,6.4
94,Audrey Young DDS,57,Male,2022-03-26,2024-02-28,16,674.79,India,umatthews@gmail.com,Tablet,Yes,7.0
95,Mary Bass,47,Female,2023-03-14,2024-12-06,50,1876.03,Brazil,vaughnjeff@yahoo.com,Tablet,Yes,6.9
